country,year,predicted,model
Hungary,2026,3049258.25,XGB
Ireland,2026,15617142.0,XGB
Italy,2026,3772293.0,XGB
Latvia,2026,1520430.375,XGB
Lithuania,2026,153644.921875,XGB
Luxembourg,2026,595453.3125,XGB
Malta,2026,3801759.25,XGB
Netherlands,2026,9615604.0,XGB
Poland,2026,4311325.0,XGB
Portugal,2026,4449878.5,XGB
Romania,2026,239707.3125,XGB
Slovak Republic,2026,82727.15625,XGB
Slovenia,2026,157178.3125,XGB
Spain,2026,15316486.0,XGB
Sweden,2026,2262787.0,XGB
Austria,2027,3503004.75,XGB
Belgium,2027,2249145.0,XGB
Bulgaria,2027,306268.125,XGB
Croatia,2027,275319.1875,XGB
Cyprus,2027,141488.6875,XGB
Czech Republic,2027,1252805.625,XGB
Denmark,2027,2372501.25,XGB
Estonia,2027,305138.40625,XGB
Finland,2027,2811663.5,XGB
France,2027,18808804.0,XGB
Germany,2027,20997586.0,XGB
Greece,2027,2590743.75,XGB
Hungary,2027,3778793.25,XGB
Ireland,2027,16796256.0,XGB
Italy,2027,4385559.0,XGB
Latvia,2027,2251929.75,XGB
Lithuania,2027,208396.875,XGB
Luxembourg,2027,693237.4375,XGB
Malta,2027,4232982.5,XGB
Netherlands,2027,10251340.0,XGB
Poland,2027,4693144.5,XGB
Portugal,2027,4930185.0,XGB
Romania,2027,287558.71875,XGB
Slovak Republic,2027,110427.1640625,XGB
Slovenia,2027,202570.671875,XGB
Spain,2027,15896152.0,XGB
Sweden,2027,2864580.75,XGB
Austria,2028,3615734.25,XGB
Belgium,2028,2430929.25,XGB
Bulgaria,2028,357950.90625,XGB
Croatia,2028,293640.46875,XGB
Cyprus,2028,167083.046875,XGB
Czech Republic,2028,1493600.75,XGB
Denmark,2028,2493681.25,XGB
Estonia,2028,387898.125,XGB
Finland,2028,3088767.0,XGB
France,2028,19302334.0,XGB
Germany,2028,21618148.0,XGB
Greece,2028,3112709.0,XGB
Hungary,2028,3771121.0,XGB
Ireland,2028,16804214.0,XGB
Italy,2028,4674066.5,XGB
Latvia,2028,3023032.75,XGB
Lithuania,2028,228326.640625,XGB
Luxembourg,2028,862748.1875,XGB
Malta,2028,4385077.5,XGB
Netherlands,2028,11261872.0,XGB
Poland,2028,4941764.5,XGB
Portugal,2028,4930035.5,XGB
Romania,2028,269107.25,XGB
Slovak Republic,2028,100021.1796875,XGB
Slovenia,2028,204956.109375,XGB
Spain,2028,16006474.0,XGB
Sweden,2028,3707229.75,XGB
Austria,2029,3431808.5,XGB
Belgium,2029,2666037.0,XGB
Bulgaria,2029,475786.5625,XGB
Croatia,2029,269902.40625,XGB
Cyprus,2029,179048.21875,XGB
Czech Republic,2029,1905760.625,XGB
Denmark,2029,2608536.0,XGB
Estonia,2029,506772.0,XGB
Finland,2029,2937822.0,XGB
France,2029,19134852.0,XGB
Germany,2029,18672354.0,XGB
Greece,2029,3486536.25,XGB
Hungary,2029,3710308.0,XGB
Ireland,2029,16773243.0,XGB
Italy,2029,4723384.5,XGB
Latvia,2029,3974904.25,XGB
Lithuania,2029,249127.078125,XGB
Luxembourg,2029,1178854.0,XGB
Malta,2029,4241527.0,XGB
Netherlands,2029,11393059.0,XGB
Poland,2029,5004606.0,XGB
Portugal,2029,4902349.0,XGB
Romania,2029,259189.15625,XGB
Slovak Republic,2029,98124.8359375,XGB
Slovenia,2029,199466.8125,XGB
Spain,2029,15777190.0,XGB
Sweden,2029,3523268.25,XGB
