country,year,predicted,model
Slovak Republic,2027,17157762.3210491,LR
Slovenia,2027,13891329.02579809,LR
Spain,2027,185074595.44921967,LR
Sweden,2027,39540371.01016418,LR
Austria,2028,38320326.205390304,LR
Belgium,2028,42221732.59821458,LR
Bulgaria,2028,21322226.937989544,LR
Croatia,2028,19772178.074857596,LR
Cyprus,2028,18272448.971946057,LR
Czech Republic,2028,32979959.707804374,LR
Denmark,2028,37277493.910789005,LR
Estonia,2028,15069871.48752306,LR
Finland,2028,28678462.101251982,LR
France,2028,174040610.10745367,LR
Germany,2028,207118460.6073123,LR
Greece,2028,54320571.54704043,LR
Hungary,2028,32615375.233165897,LR
Ireland,2028,47112205.68446108,LR
Italy,2028,166111398.73473585,LR
Latvia,2028,19375560.071049612,LR
Lithuania,2028,21855773.723497555,LR
Luxembourg,2028,29370476.17304543,LR
Malta,2028,21837712.928268146,LR
Netherlands,2028,75675895.87990999,LR
Poland,2028,86565575.34898359,LR
Portugal,2028,57536893.00349642,LR
Romania,2028,51598741.88887294,LR
Slovak Republic,2028,25680162.55830004,LR
Slovenia,2028,22241585.98112176,LR
Spain,2028,190347085.2992657,LR
Sweden,2028,47662684.18606429,LR
Austria,2029,44820470.00455915,LR
Belgium,2029,49498844.473321386,LR
Bulgaria,2029,28901034.200423058,LR
Croatia,2029,26980547.69646192,LR
Cyprus,2029,25271150.88444426,LR
Czech Republic,2029,41446201.988851584,LR
Denmark,2029,43714794.87623363,LR
Estonia,2029,22929978.26201053,LR
Finland,2029,36320738.74746648,LR
France,2029,180834466.79952198,LR
Germany,2029,213962543.70488763,LR
Greece,2029,58099817.56786612,LR
Hungary,2029,40933553.43446769,LR
Ireland,2029,54323923.42970548,LR
Italy,2029,169338371.7474158,LR
Latvia,2029,27265912.606527485,LR
Lithuania,2029,30296699.2773891,LR
Luxembourg,2029,39261265.22792007,LR
Malta,2029,29919104.30791434,LR
Netherlands,2029,81739956.47352612,LR
Poland,2029,96825951.45279123,LR
Portugal,2029,62516415.68090744,LR
Romania,2029,61668082.61254307,LR
Slovak Republic,2029,35210689.19297523,LR
Slovenia,2029,31497871.186121978,LR
Spain,2029,186014182.22680053,LR
Sweden,2029,56276845.46363672,LR
Austria,2025,34534196.35969174,RF
Belgium,2025,34372359.34641431,RF
Bulgaria,2025,11399617.830224268,RF
Croatia,2025,12484318.019002644,RF
Cyprus,2025,11900035.411382439,RF
Czech Republic,2025,18109348.907808732,RF
Denmark,2025,34448151.231064744,RF
Estonia,2025,3274795.534058431,RF
Finland,2025,18614148.972681254,RF
France,2025,173553624.1955814,RF
Germany,2025,214990522.52903187,RF
Greece,2025,71359891.89276788,RF
Hungary,2025,18246608.628008652,RF
Ireland,2025,46629017.57150991,RF
Italy,2025,204766019.53690484,RF
Latvia,2025,5931049.283033743,RF
Lithuania,2025,7096480.46293648,RF
Luxembourg,2025,6105976.634395044,RF
Malta,2025,9565021.169996591,RF
Netherlands,2025,76505151.86247222,RF
Poland,2025,63275460.0034805,RF
Portugal,2025,66851604.66433334,RF
Romania,2025,31001933.89075582,RF
Slovak Republic,2025,2621257.093478996,RF
Slovenia,2025,1534547.6190983555,RF
Spain,2025,218322591.83571652,RF
Sweden,2025,31790883.25473557,RF
Austria,2026,32927170.55256539,RF
Belgium,2026,33255072.206711415,RF
Bulgaria,2026,11980706.203060953,RF
Croatia,2026,12926082.17815543,RF
Cyprus,2026,12090692.734723527,RF
